Wykorzystany algorytm,Rozmiar plecaka,Liczba przedmiotów,Czas obliczeń [us]
Algorytm programowania dynamicznego,3100,4,7826
Algorytm siłowy,3100,5,390
Algorytm zachłanny,3100,5,28
Algorytm programowania dynamicznego,3100,5,8654
Algorytm siłowy,3100,6,461
Algorytm zachłanny,3100,6,32
Algorytm programowania dynamicznego,3100,6,17813
Algorytm siłowy,3100,7,1003
Algorytm zachłanny,3100,7,31
Algorytm programowania dynamicznego,3100,7,20417
Algorytm siłowy,3100,8,2226
Algorytm zachłanny,3100,8,32
Algorytm programowania dynamicznego,3100,8,17556
Algorytm siłowy,3100,9,3650
Algorytm zachłanny,3100,9,36
Algorytm programowania dynamicznego,3100,9,15256
Algorytm siłowy,3100,10,11440
Algorytm zachłanny,3100,10,37
Algorytm programowania dynamicznego,3100,10,26769
Algorytm siłowy,3100,11,15754
Algorytm zachłanny,3100,11,26
Algorytm programowania dynamicznego,3100,11,19411
Algorytm siłowy,3100,12,30445
Algorytm zachłanny,3100,12,28
Algorytm programowania dynamicznego,3100,12,21404
Algorytm siłowy,3100,13,68422
Algorytm zachłanny,3100,13,41
Algorytm programowania dynamicznego,3100,13,23800
Algorytm siłowy,3100,14,144349
Algorytm zachłanny,3100,14,213
Algorytm programowania dynamicznego,3100,14,29305
Algorytm siłowy,3100,15,288326
Algorytm zachłanny,3100,15,29
Algorytm programowania dynamicznego,3100,15,38208
Algorytm siłowy,3100,16,624857
Algorytm zachłanny,3100,16,45
Algorytm programowania dynamicznego,3100,16,28530
Algorytm siłowy,4100,2,62
Algorytm zachłanny,4100,2,16
Algorytm programowania dynamicznego,4100,2,4371
Algorytm siłowy,4100,3,58
Algorytm zachłanny,4100,3,26
Algorytm programowania dynamicznego,4100,3,6683
Algorytm siłowy,4100,4,112
Algorytm zachłanny,4100,4,24
Algorytm programowania dynamicznego,4100,4,9469
Algorytm siłowy,4100,5,125
Algorytm zachłanny,4100,5,27
Algorytm programowania dynamicznego,4100,5,12189
Algorytm siłowy,4100,6,462
Algorytm zachłanny,4100,6,29
Algorytm programowania dynamicznego,4100,6,15174
Algorytm siłowy,4100,7,1012
Algorytm zachłanny,4100,7,31
Algorytm programowania dynamicznego,4100,7,17596
Algorytm siłowy,4100,8,2245
Algorytm zachłanny,4100,8,21
Algorytm programowania dynamicznego,4100,8,17975
Algorytm siłowy,4100,9,3296
Algorytm zachłanny,4100,9,26
Algorytm programowania dynamicznego,4100,9,21945
Algorytm siłowy,4100,10,6191
Algorytm zachłanny,4100,10,28
Algorytm programowania dynamicznego,4100,10,22652
Algorytm siłowy,4100,11,14687
Algorytm zachłanny,4100,11,24
Algorytm programowania dynamicznego,4100,11,24804
Algorytm siłowy,4100,12,30090
Algorytm zachłanny,4100,12,39
Algorytm programowania dynamicznego,4100,12,29284
Algorytm siłowy,4100,13,66330
Algorytm zachłanny,4100,13,40
Algorytm programowania dynamicznego,4100,13,32436
Algorytm siłowy,4100,14,140139
Algorytm zachłanny,4100,14,44
Algorytm programowania dynamicznego,4100,14,43482
Algorytm siłowy,4100,15,307001
Algorytm zachłanny,4100,15,55
Algorytm programowania dynamicznego,4100,15,37075
Algorytm siłowy,4100,16,616566
Algorytm zachłanny,4100,16,225
Algorytm programowania dynamicznego,4100,16,38813
Algorytm siłowy,5100,2,39
Algorytm zachłanny,5100,2,38
Algorytm programowania dynamicznego,5100,2,5910
Algorytm siłowy,5100,3,185
Algorytm zachłanny,5100,3,24
Algorytm programowania dynamicznego,5100,3,10906
Algorytm siłowy,5100,4,284
